key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXzrNSLqFhMNhOYSWfD-,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-11996 | CVSS Score: 7.5 | Category: NVD-CWE-noinfo | A specially crafted sequence of HTTP/2 requests sent to Apache Tomcat 10.0.0-M1 to 10.0.0-M5, 9.0.0.M1 to 9.0.35 and 8.5.0 to 8.5.55 could trigger high CPU usage for several seconds. If a sufficient number of such requests were made on concurrent HTTP/2 connections, the server could become unresponsive.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD2,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-core-5.2.2.RELEASE.jar | Reference: CVE-2021-22118 | CVSS Score: 7.8 | Category: CWE-269 | In Spring Framework, versions 5.2.x prior to 5.2.15 and versions 5.3.x prior to 5.3.7, a WebFlux application is vulnerable to a privilege escalation: by (re)creating the temporary storage directory, a locally authenticated malicious user can read or modify files that have been uploaded to the WebFlux application, or overwrite arbitrary files with multipart request data.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD4,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-tx-5.2.2.RELEASE.jar | Reference: CVE-2020-5398 | CVSS Score: 7.5 | Category: CWE-494 | In Spring Framework, versions 5.2.x prior to 5.2.3, versions 5.1.x prior to 5.1.13, and versions 5.0.x prior to 5.0.16, an application is vulnerable to a reflected file download (RFD) attack when it sets a ""Content-Disposition"" header in the response where the filename attribute is derived from user supplied input.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD7,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-tx-5.2.2.RELEASE.jar | Reference: CVE-2021-22118 | CVSS Score: 7.8 | Category: CWE-269 | In Spring Framework, versions 5.2.x prior to 5.2.15 and versions 5.3.x prior to 5.3.7, a WebFlux application is vulnerable to a privilege escalation: by (re)creating the temporary storage directory, a locally authenticated malicious user can read or modify files that have been uploaded to the WebFlux application, or overwrite arbitrary files with multipart request data.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD8,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2019-17563 | CVSS Score: 7.5 | Category: CWE-384 | When using FORM authentication with Apache Tomcat 9.0.0.M1 to 9.0.29, 8.5.0 to 8.5.49 and 7.0.0 to 7.0.98 there was a narrow window where an attacker could perform a session fixation attack. The window was considered too narrow for an exploit to be practical but, erring on the side of caution, this issue has been treated as a security vulnerability.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD_,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-13934 | CVSS Score: 7.5 | Category: CWE-401,CWE-476 | An h2c direct connection to Apache Tomcat 10.0.0-M1 to 10.0.0-M6, 9.0.0.M5 to 9.0.36 and 8.5.1 to 8.5.56 did not release the HTTP/1.1 processor after the upgrade to HTTP/2. If a sufficient number of such requests were made, an OutOfMemoryException could occur leading to a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDm,OWASP:UsingComponentWithKnownVulnerability,BLOCKER,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: dom4j-2.1.1.jar | Reference: CVE-2020-10683 | CVSS Score: 9.8 | Category: CWE-611 | dom4j before 2.0.3 and 2.1.x before 2.1.3 allows external DTDs and External Entities by default, which might enable XXE attacks. However, there is popular external documentation from OWASP showing how to enable the safe, non-default behavior in any application that uses dom4j.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDo,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,Filename: api-clientes.jar: hibernate-core-5.4.9.Final.jar | Reference: CVE-2020-25638 | CVSS Score: 7.4 | Category: CWE-89 | A flaw was found in hibernate-core in versions prior to and including 5.4.23.Final. A SQL injection in the implementation of the JPA Criteria API can permit unsanitized literals when a literal is used in the SQL comments of the query. This flaw could allow an attacker to access unauthorized information or possibly conduct further attacks. The highest threat from this vulnerability is to data confidentiality and integrity.,,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDr,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: jackson-databind-2.10.1.jar | Reference: CVE-2020-25649 | CVSS Score: 7.5 | Category: CWE-611 | A flaw was found in FasterXML Jackson Databind, where it did not have entity expansion secured properly. This flaw allows vulnerability to XML external entity (XXE) attacks. The highest threat from this vulnerability is data integrity.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDv,OWASP:UsingComponentWithKnownVulnerability,BLOCKER,personas.api-clientes,personas.api-clientes,,OPEN,Filename: api-clientes.jar: retrofit-2.4.0.jar | Reference: CVE-2018-1000844 | CVSS Score: 9.1 | Category: CWE-611 | Square Open Source Retrofit version Prior to commit 4a693c5aeeef2be6c7ecf80e7b5ec79f6ab59437 contains a XML External Entity (XXE) vulnerability in JAXB that can result in An attacker could use this to remotely read files from the file system or to perform SSRF.. This vulnerability appears to have been fixed in After commit 4a693c5aeeef2be6c7ecf80e7b5ec79f6ab59437.,,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDw,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: retrofit-2.4.0.jar | Reference: CVE-2018-1000850 | CVSS Score: 7.5 | Category: CWE-22 | Square Retrofit version versions from (including) 2.0 and 2.5.0 (excluding) contains a Directory Traversal vulnerability in RequestBuilder class, method addPathParameter that can result in By manipulating the URL an attacker could add or delete resources otherwise unavailable to her.. This attack appear to be exploitable via An attacker should have access to an encoded path parameter on POST, PUT or DELETE request.. This vulnerability appears to have been fixed in 2.5.0 and later.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDx,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: snakeyaml-1.25.jar | Reference: CVE-2017-18640 | CVSS Score: 7.5 | Category: CWE-776 | The Alias feature in SnakeYAML 1.18 allows entity expansion during a load operation, a related issue to CVE-2003-1564.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDz,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-core-5.2.2.RELEASE.jar | Reference: CVE-2020-5398 | CVSS Score: 7.5 | Category: CWE-494 | In Spring Framework, versions 5.2.x prior to 5.2.3, versions 5.1.x prior to 5.1.13, and versions 5.0.x prior to 5.0.16, an application is vulnerable to a reflected file download (RFD) attack when it sets a ""Content-Disposition"" header in the response where the filename attribute is derived from user supplied input.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEA,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-13935 | CVSS Score: 7.5 | Category: CWE-835 | The payload length in a WebSocket frame was not correctly validated in Apache Tomcat 10.0.0-M1 to 10.0.0-M6, 9.0.0.M1 to 9.0.36, 8.5.0 to 8.5.56 and 7.0.27 to 7.0.104. Invalid payload lengths could trigger an infinite loop. Multiple requests with invalid payload lengths could lead to a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEC,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-17527 | CVSS Score: 7.5 | Category: CWE-200 | While investigating bug 64830 it was discovered that Apache Tomcat 10.0.0-M1 to 10.0.0-M9, 9.0.0-M1 to 9.0.39 and 8.5.0 to 8.5.59 could re-use an HTTP request header value from the previous stream received on an HTTP/2 connection for the request associated with the subsequent stream. While this would most likely lead to an error and the closure of the HTTP/2 connection, it is possible that information could leak between requests.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEE,OWASP:UsingComponentWithKnownVulnerability,BLOCKER,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-1938 | CVSS Score: 9.8 | Category: CWE-269 | When using the Apache JServ Protocol (AJP), care must be taken when trusting incoming connections to Apache Tomcat. Tomcat treats AJP connections as having higher trust than, for example, a similar HTTP connection. If such connections are available to an attacker, they can be exploited in ways that may be surprising. In Apache Tomcat 9.0.0.M1 to 9.0.0.30, 8.5.0 to 8.5.50 and 7.0.0 to 7.0.99, Tomcat shipped with an AJP Connector enabled by default that listened on all configured IP addresses. It was expected (and recommended in the security guide) that this Connector would be disabled if not required. This vulnerability report identified a mechanism that allowed: - returning arbitrary files from anywhere in the web application - processing any file in the web application as a JSP Further, if the web application allowed file upload and stored those files within the web application (or the attacker was able to control the content of the web application by some other means) then this, along with the ability to process a file as a JSP, made remote code execution possible. It is important to note that mitigation is only required if an AJP port is accessible to untrusted users. Users wishing to...",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEF,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-9484 | CVSS Score: 7.0 | Category: CWE-502 | When using Apache Tomcat versions 10.0.0-M1 to 10.0.0-M4, 9.0.0.M1 to 9.0.34, 8.5.0 to 8.5.54 and 7.0.0 to 7.0.103 if a) an attacker is able to control the contents and name of a file on the server; and b) the server is configured to use the PersistenceManager with a FileStore; and c) the PersistenceManager is configured with sessionAttributeValueClassNameFilter=""null"" (the default unless a SecurityManager is used) or a sufficiently lax filter to allow the attacker provided object to be deserialized; and d) the attacker knows the relative file path from the storage location used by FileStore to the file the attacker has control over; then, using a specifically crafted request, the attacker will be able to trigger remote code execution via deserialization of the file under their control. Note that all of conditions a) to d) must be true for the attack to succeed.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEH,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2021-25122 | CVSS Score: 7.5 | Category: CWE-200 | When responding to new h2c connection requests, Apache Tomcat versions 10.0.0-M1 to 10.0.0, 9.0.0.M1 to 9.0.41 and 8.5.0 to 8.5.61 could duplicate request headers and a limited amount of request body from one request to another meaning user A and user B could both see the results of user A's request.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEI,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2021-25329 | CVSS Score: 7.0 | Category: NVD-CWE-noinfo | The fix for CVE-2020-9484 was incomplete. When using Apache Tomcat 10.0.0-M1 to 10.0.0, 9.0.0.M1 to 9.0.41, 8.5.0 to 8.5.61 or 7.0.0. to 7.0.107 with a configuration edge case that was highly unlikely to be used, the Tomcat instance was still vulnerable to CVE-2020-9494. Note that both the previously published prerequisites for CVE-2020-9484 and the previously published mitigations for CVE-2020-9484 also apply to this issue.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEL,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2021-41079 | CVSS Score: 7.5 | Category: CWE-20 | Apache Tomcat 8.5.0 to 8.5.63, 9.0.0-M1 to 9.0.43 and 10.0.0-M1 to 10.0.2 did not properly validate incoming TLS packets. When Tomcat was configured to use NIO+OpenSSL or NIO2+OpenSSL for TLS, a specially crafted packet could be used to trigger an infinite loop resulting in a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEM,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2021-42340 | CVSS Score: 7.5 | Category: CWE-772 | The fix for bug 63362 present in Apache Tomcat 10.1.0-M1 to 10.1.0-M5, 10.0.0-M1 to 10.0.11, 9.0.40 to 9.0.53 and 8.5.60 to 8.5.71 introduced a memory leak. The object introduced to collect metrics for HTTP upgrade connections was not released for WebSocket connections once the connection was closed. This created a memory leak that, over time, could lead to a denial of service via an OutOfMemoryError.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEN,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2019-17563 | CVSS Score: 7.5 | Category: CWE-384 | When using FORM authentication with Apache Tomcat 9.0.0.M1 to 9.0.29, 8.5.0 to 8.5.49 and 7.0.0 to 7.0.98 there was a narrow window where an attacker could perform a session fixation attack. The window was considered too narrow for an exploit to be practical but, erring on the side of caution, this issue has been treated as a security vulnerability.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEP,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-11996 | CVSS Score: 7.5 | Category: NVD-CWE-noinfo | A specially crafted sequence of HTTP/2 requests sent to Apache Tomcat 10.0.0-M1 to 10.0.0-M5, 9.0.0.M1 to 9.0.35 and 8.5.0 to 8.5.55 could trigger high CPU usage for several seconds. If a sufficient number of such requests were made on concurrent HTTP/2 connections, the server could become unresponsive.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEQ,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-13934 | CVSS Score: 7.5 | Category: CWE-401,CWE-476 | An h2c direct connection to Apache Tomcat 10.0.0-M1 to 10.0.0-M6, 9.0.0.M5 to 9.0.36 and 8.5.1 to 8.5.56 did not release the HTTP/1.1 processor after the upgrade to HTTP/2. If a sufficient number of such requests were made, an OutOfMemoryException could occur leading to a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfER,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-13935 | CVSS Score: 7.5 | Category: CWE-835 | The payload length in a WebSocket frame was not correctly validated in Apache Tomcat 10.0.0-M1 to 10.0.0-M6, 9.0.0.M1 to 9.0.36, 8.5.0 to 8.5.56 and 7.0.27 to 7.0.104. Invalid payload lengths could trigger an infinite loop. Multiple requests with invalid payload lengths could lead to a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfET,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-17527 | CVSS Score: 7.5 | Category: CWE-200 | While investigating bug 64830 it was discovered that Apache Tomcat 10.0.0-M1 to 10.0.0-M9, 9.0.0-M1 to 9.0.39 and 8.5.0 to 8.5.59 could re-use an HTTP request header value from the previous stream received on an HTTP/2 connection for the request associated with the subsequent stream. While this would most likely lead to an error and the closure of the HTTP/2 connection, it is possible that information could leak between requests.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEV,OWASP:UsingComponentWithKnownVulnerability,BLOCKER,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-1938 | CVSS Score: 9.8 | Category: CWE-269 | When using the Apache JServ Protocol (AJP), care must be taken when trusting incoming connections to Apache Tomcat. Tomcat treats AJP connections as having higher trust than, for example, a similar HTTP connection. If such connections are available to an attacker, they can be exploited in ways that may be surprising. In Apache Tomcat 9.0.0.M1 to 9.0.0.30, 8.5.0 to 8.5.50 and 7.0.0 to 7.0.99, Tomcat shipped with an AJP Connector enabled by default that listened on all configured IP addresses. It was expected (and recommended in the security guide) that this Connector would be disabled if not required. This vulnerability report identified a mechanism that allowed: - returning arbitrary files from anywhere in the web application - processing any file in the web application as a JSP Further, if the web application allowed file upload and stored those files within the web application (or the attacker was able to control the content of the web application by some other means) then this, along with the ability to process a file as a JSP, made remote code execution possible. It is important to note that mitigation is only required if an AJP port is accessible to untrusted users. Users wishi...",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEW,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-8022 | CVSS Score: 7.8 | Category: CWE-276 | A Incorrect Default Permissions vulnerability in the packaging of tomcat on SUSE Enterprise Storage 5, SUSE Linux Enterprise Server 12-SP2-BCL, SUSE Linux Enterprise Server 12-SP2-LTSS, SUSE Linux Enterprise Server 12-SP3-BCL, SUSE Linux Enterprise Server 12-SP3-LTSS, SUSE Linux Enterprise Server 12-SP4, SUSE Linux Enterprise Server 12-SP5, SUSE Linux Enterprise Server 15-LTSS, SUSE Linux Enterprise Server for SAP 12-SP2, SUSE Linux Enterprise Server for SAP 12-SP3, SUSE Linux Enterprise Server for SAP 15, SUSE OpenStack Cloud 7, SUSE OpenStack Cloud 8, SUSE OpenStack Cloud Crowbar 8 allows local attackers to escalate from group tomcat to root. This issue affects: SUSE Enterprise Storage 5 tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP2-BCL tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP2-LTSS tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP3-BCL tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP3-LTSS tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP4 tomcat versions prior to 9.0.35-3.39.1. SUSE Linux Enterprise Server 12-SP5 tomcat versions prior t...",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEX,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2020-9484 | CVSS Score: 7.0 | Category: CWE-502 | When using Apache Tomcat versions 10.0.0-M1 to 10.0.0-M4, 9.0.0.M1 to 9.0.34, 8.5.0 to 8.5.54 and 7.0.0 to 7.0.103 if a) an attacker is able to control the contents and name of a file on the server; and b) the server is configured to use the PersistenceManager with a FileStore; and c) the PersistenceManager is configured with sessionAttributeValueClassNameFilter=""null"" (the default unless a SecurityManager is used) or a sufficiently lax filter to allow the attacker provided object to be deserialized; and d) the attacker knows the relative file path from the storage location used by FileStore to the file the attacker has control over; then, using a specifically crafted request, the attacker will be able to trigger remote code execution via deserialization of the file under their control. Note that all of conditions a) to d) must be true for the attack to succeed.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEZ,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2021-25122 | CVSS Score: 7.5 | Category: CWE-200 | When responding to new h2c connection requests, Apache Tomcat versions 10.0.0-M1 to 10.0.0, 9.0.0.M1 to 9.0.41 and 8.5.0 to 8.5.61 could duplicate request headers and a limited amount of request body from one request to another meaning user A and user B could both see the results of user A's request.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEa,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2021-25329 | CVSS Score: 7.0 | Category: NVD-CWE-noinfo | The fix for CVE-2020-9484 was incomplete. When using Apache Tomcat 10.0.0-M1 to 10.0.0, 9.0.0.M1 to 9.0.41, 8.5.0 to 8.5.61 or 7.0.0. to 7.0.107 with a configuration edge case that was highly unlikely to be used, the Tomcat instance was still vulnerable to CVE-2020-9494. Note that both the previously published prerequisites for CVE-2020-9484 and the previously published mitigations for CVE-2020-9484 also apply to this issue.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEd,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2021-41079 | CVSS Score: 7.5 | Category: CWE-20 | Apache Tomcat 8.5.0 to 8.5.63, 9.0.0-M1 to 9.0.43 and 10.0.0-M1 to 10.0.2 did not properly validate incoming TLS packets. When Tomcat was configured to use NIO+OpenSSL or NIO2+OpenSSL for TLS, a specially crafted packet could be used to trigger an infinite loop resulting in a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfEe,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-websocket-9.0.29.jar | Reference: CVE-2021-42340 | CVSS Score: 7.5 | Category: CWE-772 | The fix for bug 63362 present in Apache Tomcat 10.1.0-M1 to 10.1.0-M5, 10.0.0-M1 to 10.0.11, 9.0.40 to 9.0.53 and 8.5.60 to 8.5.71 introduced a memory leak. The object introduced to collect metrics for HTTP upgrade connections was not released for WebSocket connections once the connection was closed. This created a memory leak that, over time, could lead to a denial of service via an OutOfMemoryError.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
